LB,XKLB,XM,XXMC
长江青年学者,外科学（普外）,周建,海军军医大学（第二军医大学）
长江青年学者,药剂学,张建祥,陆军军医大学（第三军医大学）
长江青年学者,口腔临床医学,牛丽娜,空军军医大学（第四军医大学）
长江青年学者,肿瘤学,夏丽敏,空军军医大学（第四军医大学）
长江青年学者,通信与信息系统,胡苏,电子科技大学
长江青年学者,矿物加工工程,沈岩柏,东北大学
长江青年学者,防灾减灾工程及防护工程,丁幼亮,东南大学
长江青年学者,凝聚态物理,董帅,东南大学
长江青年学者,电机与电器,花为,东南大学
长江青年学者,物理电子学,倪振华,东南大学
长江青年学者,无机化学,游雨蒙,东南大学
长江青年学者,会计学,陈德球,对外经济贸易大学
长江青年学者,金融学（含保险学）,黄薇,对外经济贸易大学
长江青年学者,密码学,黄欣沂,福建师范大学
长江青年学者,会计学,方军雄,复旦大学
长江青年学者,材料学,方晓生,复旦大学
长江青年学者,社会学,胡安宁,复旦大学
长江青年学者,计算机应用技术,姜育刚,复旦大学
长江青年学者,病原生物学,李建华,复旦大学
长江青年学者,国际贸易学,李志远,复旦大学
长江青年学者,中西医结合临床医学,王鹏,复旦大学
长江青年学者,移动系统安全,杨珉,复旦大学
长江青年学者,肿瘤学,叶丹,复旦大学
长江青年学者,凝聚态物理,张童,复旦大学
长江青年学者,无机化学,郑耿锋,复旦大学
长江青年学者,新闻学,朱春阳,复旦大学
长江青年学者,网络空间安全,李进,广州大学
长江青年学者,农药学,郝格非,贵州大学
长江青年学者,一般力学与力学基础,罗亚中,国防科技大学
长江青年学者,管理科学与工程,吕欣,国防科技大学
长江青年学者,水声工程,殷敬伟,哈尔滨工程大学
长江青年学者,导航、制导与控制,赵玉新,哈尔滨工程大学
长江青年学者,防灾减灾工程及防护工程,鲍跃全,哈尔滨工业大学
长江青年学者,机械设计与理论,李隆球,哈尔滨工业大学
长江青年学者,材料物理与化学,隋解和,哈尔滨工业大学
长江青年学者,材料加工工程,宗影影,哈尔滨工业大学
长江青年学者,信号与信息处理,颜成钢,杭州电子科技大学
长江青年学者,计算机应用技术,俞俊,杭州电子科技大学
长江青年学者,交通运输管理,龙建成,合肥工业大学
长江青年学者,中国现当代文学,张先飞,河南大学
长江青年学者,临床兽医学,徐闯,黑龙江八一农垦大学
长江青年学者,分析化学,陈卓,湖南大学
长江青年学者,植物学,于峰,湖南大学
长江青年学者,应用化学,郭志前,华东理工大学
长江青年学者,生物化学与分子生物学,赵玉政,华东理工大学
长江青年学者,网络空间安全,何道敬,华东师范大学
长江青年学者,有机化学,姜雪峰,华东师范大学
长江青年学者,比较文学与世界文学,金雯,华东师范大学
长江青年学者,运筹学与控制论,李韬,华东师范大学
长江青年学者,文艺学,王峰,华东师范大学
长江青年学者,材料物理与化学,何志才,华南理工大学
长江青年学者,管理科学与工程,牛保庄,华南理工大学
长江青年学者,生物质科学与工程,任俊莉,华南理工大学
长江青年学者,计算机应用技术,詹志辉,华南理工大学
长江青年学者,文艺学,段吉方,华南师范大学
长江青年学者,外科学（泌尿外）,谌科,华中科技大学
长江青年学者,材料学,胡先罗,华中科技大学
长江青年学者,机械电子工程,李文龙,华中科技大学
长江青年学者,外科学（普外）,王征,华中科技大学
长江青年学者,生物信息技术,薛宇,华中科技大学
长江青年学者,植物病理学,谢卡斌,华中农业大学
长江青年学者,马克思主义哲学,白刚,吉林大学
长江青年学者,药物化学,蔡倩,暨南大学
长江青年学者,中药化学,高昊,暨南大学
长江青年学者,国际关系学,鞠海龙,暨南大学
